,x_0,y_0
536,924.4878048780488,513.8536585365854
537,923.8536585365854,502.2439024390244
538,923.219512195122,490.6341463414634
539,922.5853658536586,479.0243902439024
540,921.9512195121952,467.4146341463415
541,921.3170731707318,455.8048780487805
542,920.6829268292682,444.1951219512195
543,920.0487804878048,432.5853658536586
544,919.4146341463414,420.9756097560976
545,918.780487804878,409.3658536585366
546,918.1463414634146,397.7560975609756
547,917.5121951219512,386.1463414634146
548,916.8780487804878,374.5365853658537
549,916.2439024390244,362.9268292682927
550,915.609756097561,351.3170731707317
551,914.9756097560976,339.70731707317077
552,914.3414634146342,328.0975609756098
553,913.7073170731708,316.4878048780488
554,913.0731707317074,304.8780487804878
555,912.439024390244,293.2682926829268
556,911.8048780487804,281.6585365853659
557,911.170731707317,270.0487804878049
558,910.5365853658536,258.4390243902439
559,909.9024390243902,246.82926829268297
560,909.2682926829268,235.21951219512198
561,908.6341463414634,223.609756097561
562,908.0,212.0
563,906.0,222.0
564,900.0,236.0
565,900.0,236.0
566,897.0,248.0
567,893.0,263.0
568,888.0,276.0
569,883.0,292.0
570,879.0,304.0
571,879.0,304.0
572,876.0,321.0
573,873.0,334.0
574,866.0,349.0
575,863.0,365.0
576,859.0,385.0
577,859.0,385.0
578,856.0,400.0
579,850.0,413.0
580,849.0,412.0
581,845.0,413.0
582,840.0,414.0
583,840.0,414.0
584,838.0,414.0
585,834.0,415.0
586,830.0,415.0
587,828.0,416.0
588,825.0,416.0
589,824.0,415.0
590,821.0,419.0
591,817.0,421.0
592,815.0,424.0
593,810.0,425.0
594,809.0,425.0
595,809.0,423.0
596,805.0,405.0
597,804.0,378.0
598,803.0,360.0
599,799.0,340.0
600,799.0,324.0
601,799.0,324.0
602,797.0,307.0
603,794.5,290.5
604,792.0,274.0
605,791.0,259.0
606,788.0,250.0
607,811.0,658.0
608,785.0,238.0
609,786.0,224.0
610,790.3333333333334,296.6666666666667
611,794.6666666666666,369.33333333333337
612,799.0,442.0
613,803.3333333333334,514.6666666666667
614,807.6666666666666,587.3333333333334
615,812.0,660.0
616,812.0,658.5
617,812.0,657.0
618,812.6666666666666,657.0
619,813.3333333333334,657.0
620,814.0,657.0
621,814.4166666666666,639.9583333333334
622,814.8333333333334,622.9166666666666
623,815.25,605.875
624,815.6666666666666,588.8333333333334
625,816.0833333333334,571.7916666666666
626,816.5,554.75
627,816.9166666666666,537.7083333333334
628,817.3333333333334,520.6666666666666
629,817.75,503.625
630,818.1666666666666,486.5833333333333
631,818.5833333333334,469.54166666666663
632,819.0,452.5
633,819.4166666666666,435.4583333333333
634,819.8333333333334,418.41666666666663
635,820.25,401.375
636,820.6666666666666,384.3333333333333
637,821.0833333333334,367.29166666666663
638,821.5,350.25
639,821.9166666666666,333.2083333333333
640,822.3333333333334,316.16666666666663
641,822.75,299.125
642,823.1666666666666,282.0833333333333
643,823.5833333333334,265.04166666666663
644,824.0,248.0
645,830.0,263.0
646,836.0,275.0
647,839.0,287.0
648,843.3333333333334,298.0
649,847.6666666666666,309.0
650,852.0,320.0
651,858.0,334.0
652,861.0,351.0
653,868.0,366.0
654,873.0,385.0
655,872.0,382.0
656,878.0,401.0
657,879.0,414.0
658,881.3333333333334,414.6666666666667
659,883.6666666666666,415.3333333333333
660,886.0,416.0
661,888.3333333333334,416.6666666666667
662,890.6666666666666,417.3333333333333
663,893.0,418.0
664,895.3333333333334,418.6666666666667
665,897.6666666666666,419.3333333333333
666,900.0,420.0
667,902.3333333333334,420.6666666666667
668,904.6666666666666,421.3333333333333
669,907.0,422.0
670,909.3333333333334,422.6666666666667
671,911.6666666666666,423.3333333333333
672,914.0,424.0
673,916.3333333333334,424.6666666666667
674,918.6666666666666,425.3333333333333
675,921.0,426.0
676,923.3333333333334,426.6666666666667
677,925.6666666666666,427.3333333333333
678,928.0,428.0
679,930.3333333333334,428.6666666666667
680,932.6666666666666,429.3333333333333
681,935.0,430.0
682,937.3333333333334,430.6666666666667
683,939.6666666666666,431.3333333333333
684,942.0,432.0
685,942.0,432.0
686,944.0,425.0
687,945.0,418.0
688,946.0,413.0
689,949.0,407.0
690,948.0,401.0
691,948.0,401.0
692,949.0,396.0
693,948.0,393.0
694,952.0,389.0
695,952.0,385.0
696,954.0,381.0
697,954.0,381.0
698,954.0,378.0
699,954.0,375.0
700,955.0,372.0
701,956.0,369.0
702,956.0,368.0
703,956.0,368.0
704,956.0,368.0
705,960.0,365.0
706,959.0,363.0
707,960.0,364.0
708,961.0,364.0
709,961.0,364.0
710,962.0,361.0
711,963.0,364.0
712,962.0,364.0
713,964.0,365.0
714,966.0,367.0
715,966.0,367.0
716,967.0,367.0
717,967.0,370.0
718,966.0,371.0
719,968.0,374.0
720,969.0,377.0
721,969.0,377.0
722,969.0,381.0
723,969.0,384.0
724,969.0,388.0
725,970.0,391.0
726,971.0,394.0
727,971.0,394.0
728,971.0,399.0
729,972.0,404.0
730,973.0,409.0
731,974.0,413.0
732,973.0,418.0
733,973.0,418.0
734,973.0,424.0
735,973.0,430.0
736,972.0,437.0
737,990.6,473.2
738,1009.2,509.4
739,1027.8,545.6
740,1046.4,581.8
741,1065.0,618.0
742,1046.6,580.4
743,1028.2,542.8
744,1009.8,505.2
745,991.4,467.6
746,973.0,430.0
747,974.0,425.0
748,974.0,416.0
749,974.0,411.0
750,972.0,407.0
751,972.0,407.0
752,973.0,403.0
753,972.75,397.75
754,972.5,392.5
755,972.25,387.25
756,972.0,382.0
757,971.0,384.0
758,971.0,380.0
759,971.0,376.0
760,970.025641025641,377.0
761,969.0512820512821,378.0
762,968.0769230769231,379.0
763,967.1025641025641,380.0
764,966.1282051282051,381.0
765,965.1538461538462,382.0
766,964.1794871794872,383.0
767,963.2051282051282,384.0
768,962.2307692307693,385.0
769,961.2564102564103,386.0
770,960.2820512820513,387.0
771,959.3076923076923,388.0
772,958.3333333333334,389.0
773,957.3589743589744,390.0
774,956.3846153846154,391.0
775,955.4102564102565,392.0
776,954.4358974358975,393.0
777,953.4615384615385,394.0
778,952.4871794871794,395.0
779,951.5128205128206,396.0
780,950.5384615384615,397.0
781,949.5641025641025,398.0
782,948.5897435897436,399.0
783,947.6153846153846,400.0
784,946.6410256410256,401.0
785,945.6666666666666,402.0
786,944.6923076923077,403.0
787,943.7179487179487,404.0
788,942.7435897435897,405.0
789,941.7692307692307,406.0
790,940.7948717948718,407.0
791,939.8205128205128,408.0
792,938.8461538461538,409.0
793,937.8717948717949,410.0
794,936.8974358974359,411.0
795,935.9230769230769,412.0
796,934.9487179487179,413.0
797,933.974358974359,414.0
798,933.0,415.0
799,934.0,414.0
800,930.0,415.0
801,920.0,413.0
802,914.0,414.0
803,908.0,416.0
804,903.0,417.0
805,902.0,416.0
806,894.0,418.0
807,887.0,421.0
808,883.0,422.0
809,873.0,425.0
810,867.0,428.0
811,868.0,429.0
812,860.0,434.0
813,852.0,438.0
814,915.0,531.5
815,978.0,625.0
816,965.0526315789474,620.8947368421053
817,952.1052631578947,616.7894736842105
818,939.1578947368421,612.6842105263158
819,926.2105263157895,608.578947368421
820,913.2631578947369,604.4736842105264
821,900.3157894736842,600.3684210526316
822,887.3684210526316,596.2631578947369
823,874.421052631579,592.1578947368421
824,861.4736842105264,588.0526315789474
825,848.5263157894736,583.9473684210526
826,835.578947368421,579.8421052631579
827,822.6315789473684,575.7368421052631
828,809.6842105263158,571.6315789473684
829,796.7368421052631,567.5263157894736
830,783.7894736842105,563.421052631579
831,770.8421052631579,559.3157894736842
832,757.8947368421052,555.2105263157895
833,744.9473684210526,551.1052631578947
834,732.0,547.0
835,732.0,546.0
836,735.4,533.9
837,738.8,521.8
838,742.2,509.7
839,745.6,497.6
840,749.0,485.5
841,752.4,473.4
842,755.8,461.3
843,759.2,449.2
844,762.6,437.1
845,766.0,425.0
846,770.0,413.0
847,769.0,414.0
848,773.0,404.0
849,777.0,392.0
850,780.0,384.0
851,783.0,374.0
852,788.0,363.0
853,788.0,363.0
854,791.0,354.0
855,794.0,346.0
856,799.0,339.0
857,802.0,331.0
858,806.0,324.0
859,806.0,324.0
860,808.0,319.0
861,813.0,312.0
862,814.0,304.0
863,818.0,299.0
864,823.0,294.0
865,823.0,294.0
866,827.0,289.0
867,828.0,285.0
868,832.0,280.0
869,835.0,276.0
870,838.0,274.0
871,838.0,274.0
872,842.0,269.0
873,845.0,268.0
874,848.0,265.0
875,852.0,264.0
876,864.7222222222222,282.3333333333333
877,877.4444444444445,300.6666666666667
878,890.1666666666666,319.0
879,902.8888888888889,337.3333333333333
880,915.6111111111111,355.66666666666663
881,928.3333333333334,374.0
882,941.0555555555555,392.3333333333333
883,953.7777777777778,410.66666666666663
884,966.5,429.0
885,979.2222222222222,447.3333333333333
886,991.9444444444445,465.66666666666663
887,1004.6666666666666,484.0
888,1017.3888888888889,502.3333333333333
889,1030.111111111111,520.6666666666666
890,1042.8333333333333,539.0
891,1055.5555555555557,557.3333333333333
892,1068.2777777777778,575.6666666666666
893,1081.0,594.0
894,1091.0,586.0
895,1091.0,586.0
896,1103.0,573.0
897,1113.0,564.0
898,1126.0,553.0
899,1140.0,542.0
900,1150.0,533.0
901,1150.0,533.0
902,1163.0,523.0
903,1163.0,523.0
904,1163.0,523.0
905,1163.0,523.0
906,1163.0,523.0
907,1163.0,523.0
908,1163.0,523.0
909,1163.0,523.0
910,1163.0,523.0
911,1163.0,523.0
912,1163.0,523.0
913,1163.0,523.0
914,1163.0,523.0
915,1163.0,523.0
916,1163.0,523.0
917,1163.0,523.0
918,1163.0,523.0
919,1163.0,523.0
920,1163.0,523.0
921,1163.0,523.0
922,1163.0,523.0
923,1163.0,523.0
924,1163.0,523.0
